
# Efinity Pinout Report
# Version: 2023.2.307
# Date: 2024-11-11 23:31

# Copyright (C) 2013 - 2023 Efinix Inc. All rights reserved.

# Device: Ti60F100S3F2
# Package status: final
# Project: Ti60_Demo
# Configuration mode: active (x2)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,VCCA_TL,,Power,,,,,0.95 V PLL Power
A3,REF_RES_1B,,Input,1B,1.2 V,,,
A4,GPIOT_P_01,csi_trig_io.P,Bidirectional,2A_2B,1.8 V,1.8 V LVCMOS,,User IO
A5,GND,,Power,,,,,Ground
A6,VCCIO2A_2B,,Power,2A_2B,1.8 V,,,VCCIO Power
A7,VCCA_TR,,Power,,,,,0.95 V PLL Power
A8,GND,,Power,,,,,Ground
A9,GPIOR_P_19_PLLIN0,uart_tx_o.P,Output,3A,1.2 V,1.2 V LVCMOS,,User IO/PLL_CLKIN
A10,GPIOR_N_19,uart_rx_i.N,Input,3A,1.2 V,1.2 V LVCMOS,weak pullup,User IO/PLL_CLKIN
B1,GPIOL_P_13_CBSEL0,dsi_txd0.P,Output,1B,1.2 V,,,User IO
B2,GPIOL_N_18,led_o.N,Output,1B,1.2 V,1.2 V LVCMOS,,User IO/PLL_CLKIN
B3,GPIOL_P_18_PLLIN0,clk_27m.P,Input,1B,1.2 V,1.2 V LVCMOS,,User IO/PLL_CLKIN
B4,GPIOL_P_17_EXTFB,csi_tx_sda_io.P,Bidirectional,1B,1.2 V,1.2 V LVCMOS,,User IO/PLL_EXTFB
B5,REF_RES_2A,,Input,2A_2B,1.8 V,,,
B6,VCCAUX,,Power,1A_4B,1.8 V,,,
B7,REF_RES_3A,,Input,3A,1.2 V,,,
B8,GPIOR_N_13,csi_rxd2.N,Input,3A,1.2 V,,,User IO
B9,GPIOR_P_14,csi_rxd1.P,Input,3A,1.2 V,,,User IO
B10,GPIOR_N_14,csi_rxd1.N,Input,3A,1.2 V,,,User IO
C1,GPIOL_N_13_CBSEL1,dsi_txd0.N,Output,1B,1.2 V,,,User IO
C2,GPIOL_N_12,dsi_txc.N,Output,1B,1.2 V,,,User IO
C3,GPIOL_P_12,dsi_txc.P,Output,1B,1.2 V,,,User IO
C4,GPIOL_N_17,csi_tx_scl_io.N,Bidirectional,1B,1.2 V,1.2 V LVCMOS,,User IO/PLL_EXTFB
C5,GPIOL_P_15_NSTATUS,dsi_pwm_o.P,Output,1B,1.2 V,1.2 V LVCMOS,,User IO/VREF/Configuration
C6,VCC,,Power,,,,,0.95 V VCC Power
C7,GPIOR_N_10_CLK9_N,csi_rxc.N,Input,3A,1.2 V,,,User IO/GCLK/RCLK
C8,GPIOR_P_13,csi_rxd2.P,Input,3A,1.2 V,,,User IO/VREF
C9,VCCIO3A,,Power,3A,1.2 V,,,VCCIO Power
C10,GPIOR_N_12,csi_rxd0.N,Input,3A,1.2 V,,,User IO
D1,GPIOL_N_10_CLK3_N,dsi_txd2.N,Output,1B,1.2 V,,,User IO/GCLK/RCLK
D2,GND,,Power,,,,,Ground
D3,VCCIO1B,,Power,1B,1.2 V,,,VCCIO Power
D4,GND,,Power,,,,,Ground
D5,GPIOL_N_15_TEST_N,csi2_sda_io.N,Bidirectional,1B,1.2 V,1.2 V LVCMOS,,User IO/Configuration
D6,GPIOR_P_10_CLK9_P,csi_rxc.P,Input,3A,1.2 V,,,User IO/GCLK/RCLK
D7,VCC,,Power,,,,,0.95 V VCC Power
D8,GPIOR_P_11_CLK8_P,csi_rxd3.P,Input,3A,1.2 V,,,User IO/GCLK/RCLK
