sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2024 23:29:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	    6322(9)	     136(0)	    5072(0)	   15686(9)	     0(0)	    56(0)	    65(0)	
 +rst_syspll:Reset                                          	       2(2)	       2(2)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +rst_pixel:Reset                                           	     29(29)	       2(2)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
 +rst_sysclk:Reset                                          	       4(4)	       2(2)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16bit:i2c_timing_ctrl_16bit(CLK_FREQ=96000000,I2C_FREQ=100000)	     63(63)	       0(0)	     41(41)	   344(344)	     0(0)	     0(0)	     0(0)	
 +u_hbram:hbram                                             	     778(0)	      66(0)	     196(0)	    1063(0)	     0(0)	    25(0)	     0(0)	
  +u_hbram_top:hbram_top_4443cdd14915431b8db74095d4c71f59_renamed_due_excessive_length_1	     778(0)	      66(0)	     196(0)	    1063(0)	     0(0)	    25(0)	     0(0)	
   +hard_cal_block.hbram_cal_axi_top_inst:hbram_cal_axi_top_4443cdd14915431b8db74095d4c71f59_renamed_due_excessive_length_2	     778(9)	      66(0)	     196(0)	   1063(11)	     0(0)	    25(0)	     0(0)	
    +axi_rst_syncronizer:efx_resetsync_4443cdd14915431b8db74095d4c71f59(ACTIVE_LOW=0)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +ram_rst_syncronizer:efx_resetsync_4443cdd14915431b8db74095d4c71f59(ACTIVE_LOW=0)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +ramcal_rst_syncronizer:efx_resetsync_4443cdd14915431b8db74095d4c71f59(ACTIVE_LOW=0)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.hbram_axi_wrapper_inst:hbram_axi_wrapper_4443cdd14915431b8db74095d4c71f59(RAM_DBW=16,AXI_DBW=128,DUAL_RAM=0)	     296(0)	      56(0)	      95(0)	     381(0)	     0(0)	    23(0)	     0(0)	
     +xh_mrdy:efx_asyncreg_4443cdd14915431b8db74095d4c71f59(WIDTH=1)	       2(2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +xefx_axi_amux_top:efx_axi_amux_top_4443cdd14915431b8db74095d4c71f59(CTRL_DBW=32,AXI_DBW=128,AXI_SBW=16,DUAL_RAM=0)	    234(26)	      56(0)	     84(13)	    322(28)	     0(0)	    23(0)	     0(0)	
      +rst_busy_sync:efx_asyncreg_4443cdd14915431b8db74095d4c71f59(WIDTH=1)	       2(2)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +addr_fifo:efx_fifo_top_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",DEPTH=16,DATA_WIDTH=54,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE")	      34(4)	      10(0)	       7(0)	      31(0)	     0(0)	     4(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=54,RDATA_WIDTH=54,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(4)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7)	     30(30)	      10(0)	       7(7)	     31(17)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=5)	       0(0)	       5(5)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=5)	       0(0)	       5(5)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +wr_data_fifo:efx_fifo_top_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",DEPTH=256,DATA_WIDTH=148,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",ASYM_WIDTH_RATIO=2)	      61(4)	      18(0)	      18(0)	      52(1)	     0(0)	     9(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",WR_DEPTH=256,RD_DEPTH=1024,WDATA_WIDTH=148,RDATA_WIDTH=37,WADDR_WIDTH=8,RADDR_WIDTH=10,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       5(5)	     0(0)	     9(9)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_4443cdd14915431b8db74095d4c71f59_renamed_due_excessive_length_3	     57(57)	      18(0)	     18(18)	     46(14)	     0(0)	     0(0)	     0(0)	
